time,Yaw,pitch,roll
0.012,91.573,-10.441,1.59
0.055,91.086,-10.996,1.683
0.18,92.316,-10.996,1.683
0.2,92.316,-10.996,1.683
0.267,91.827,-11.374,0.825
0.381,91.997,-11.374,0.825
0.401,91.997,-11.374,0.825
0.479,92.749,-10.74,1.798
0.58,92.656,-10.74,1.798
0.6,92.656,-10.74,1.798
0.692,91.818,-11.692,2.161
0.782,92.058,-11.692,2.161
0.8,92.058,-11.692,2.161
0.903,92.131,-11.605,2.109
0.981,92.499,-11.605,2.109
1,92.499,-11.605,2.109
1.114,91.621,-12.759,3.135
1.18,92.04,-12.759,3.135
1.2,92.04,-12.759,3.135
1.326,91.717,-13.725,5.71
1.381,91.784,-13.725,5.71
1.4,91.784,-13.725,5.71
1.537,92.095,-13.578,6.612
1.583,91.949,-13.578,6.612
1.6,91.949,-13.578,6.612
1.749,91.07,-14.095,4.62
1.781,90.917,-14.095,4.62
1.802,90.917,-14.095,4.62
1.961,90.157,-14.261,2.069
1.981,90.018,-14.261,2.069
2.002,90.018,-14.261,2.069
2.172,91.303,-13.041,2.403
2.18,90.886,-13.041,2.403
2.2,90.886,-13.041,2.403
2.381,90.049,-13.041,2.403
2.383,92.311,-10.568,0.437
2.401,92.311,-10.568,0.437
2.58,91.827,-10.568,0.437
2.596,98.169,-4.963,-3.101
2.601,98.169,-4.963,-3.101
2.781,97.796,-4.963,-3.101
2.801,97.796,-4.963,-3.101
2.807,105.084,-0.615,-10.328
2.98,107.297,-0.615,-10.328
3.001,107.297,-0.615,-10.328
3.019,115.674,5.453,-11.257
3.181,119.839,5.453,-11.257
3.201,119.839,5.453,-11.257
3.23,120.575,2.095,-17.495
3.381,127.553,2.095,-17.495
3.4,127.553,2.095,-17.495
3.443,126.554,0.011,-19.093
3.58,135.239,0.011,-19.093
3.6,135.239,0.011,-19.093
3.655,125.831,-7.521,-17.961
3.78,136.213,-7.521,-17.961
3.801,136.213,-7.521,-17.961
3.865,131.59,-12.265,-18.526
3.98,141.839,-12.265,-18.526
4,141.839,-12.265,-18.526
4.077,144.784,-12.499,-21.958
4.18,153.422,-12.499,-21.958
4.2,153.422,-12.499,-21.958
4.288,153.46,-10.844,-20.963
4.38,160.325,-10.844,-20.963
4.4,160.325,-10.844,-20.963
4.501,160.124,-11.083,-20.814
4.58,165.645,-11.083,-20.814
4.6,165.645,-11.083,-20.814
4.712,164.161,-11.909,-19.006
4.78,168.312,-11.909,-19.006
4.8,168.312,-11.909,-19.006
4.924,169.378,-11.94,-20.568
4.98,171.822,-11.94,-20.568
5,171.822,-11.94,-20.568
5.137,171.336,-10.806,-19.633
5.181,172.224,-10.806,-19.633
5.201,172.224,-10.806,-19.633
5.348,172.224,-11.662,-19.787
5.381,172.59,-11.662,-19.787
5.407,172.59,-11.662,-19.787
5.56,169.298,-11.095,-14.819
5.58,169.746,-11.095,-14.819
5.601,169.746,-11.095,-14.819
5.771,168.196,-10.076,-12.219
5.78,169.125,-10.076,-12.219
5.801,169.125,-10.076,-12.219
5.982,170.284,-10.076,-12.219
5.983,168.909,-9.995,-10.139
6,168.909,-9.995,-10.139
6.181,169.779,-9.995,-10.139
6.195,170.323,-10.294,-11.005
6.2,170.323,-10.294,-11.005
6.381,171.466,-10.294,-11.005
6.406,171.466,-10.294,-11.005
6.407,169.928,-9.984,-8.725
6.581,171.327,-9.984,-8.725
6.6,171.327,-9.984,-8.725
6.618,170.896,-9.444,-8.002
6.781,172.174,-9.444,-8.002
6.802,172.174,-9.444,-8.002
6.831,172.731,-10.164,-8.897
6.982,173.765,-10.164,-8.897
7,173.765,-10.164,-8.897
7.042,174.771,-9.925,-10.225
7.181,175.414,-9.925,-10.225
7.2,175.414,-9.925,-10.225
7.255,175.896,-11.564,-11.024
7.381,176.024,-11.564,-11.024
7.406,176.024,-11.564,-11.024
7.466,175.543,-13.863,-10.621
7.581,175.5,-13.863,-10.621
7.6,175.5,-13.863,-10.621
7.678,175.067,-17.577,-10.499
7.781,174.948,-17.577,-10.499
7.8,174.948,-17.577,-10.499
7.889,174.626,-17.682,-10.101
7.981,174.44,-17.682,-10.101
8,174.44,-17.682,-10.101
8.102,171.602,-22.528,-7.347
8.181,171.379,-22.528,-7.347
8.2,171.379,-22.528,-7.347
8.312,174.489,-22.117,-11.392
8.38,174.015,-22.117,-11.392
8.407,174.015,-22.117,-11.392
8.524,171.914,-12.57,-6.37
8.581,171.882,-12.57,-6.37
8.6,171.882,-12.57,-6.37
8.736,173.477,-8.574,-8.446
8.781,173.575,-8.574,-8.446
8.8,173.575,-8.574,-8.446
8.948,172.339,-8.349,-6.257
8.98,172.47,-8.349,-6.257
9,172.47,-8.349,-6.257
9.159,172.775,-9.82,-7.015
9.18,172.942,-9.82,-7.015
9.2,172.942,-9.82,-7.015
9.371,174.465,-10.8,-9.61
9.381,174.55,-10.8,-9.61
9.407,174.55,-10.8,-9.61
9.581,174.366,-10.8,-9.61
9.582,174.974,-6.149,-9.98
9.602,174.974,-6.149,-9.98
9.781,174.675,-6.149,-9.98
9.794,174.195,-6.198,-9.31
9.8,174.195,-6.198,-9.31
9.981,174.095,-6.198,-9.31
10,174.095,-6.198,-9.31
10.005,174.529,-9.32,-10.252
10.181,174.477,-9.32,-10.252
10.2,174.477,-9.32,-10.252
10.217,171.952,-15.863,-8.105
10.382,171.937,-15.863,-8.105
10.408,171.937,-15.863,-8.105
10.431,172.644,-15.503,-8.923
10.582,172.188,-15.503,-8.923
10.6,172.188,-15.503,-8.923
10.643,174.94,-10.712,-11.83
10.781,174.465,-10.712,-11.83
10.8,174.465,-10.712,-11.83
10.853,174.073,-6.256,-10.751
10.981,173.844,-6.256,-10.751
11,173.844,-6.256,-10.751
11.064,173.748,-7.401,-10.764
11.182,173.679,-7.401,-10.764
11.2,173.679,-7.401,-10.764
11.276,172.84,-10.582,-10.082
11.381,173.021,-10.582,-10.082
11.408,173.021,-10.582,-10.082
11.488,173.77,-11.922,-11.318
11.581,173.66,-11.922,-11.318
11.6,173.66,-11.922,-11.318
11.699,175.646,-9.643,-13.795
11.781,175.044,-9.643,-13.795
11.802,175.044,-9.643,-13.795
11.912,176.275,-8.929,-15.389
11.981,175.554,-8.929,-15.389
12,175.554,-8.929,-15.389
12.124,174.579,-10.662,-14.311
12.181,174.168,-10.662,-14.311
12.2,174.168,-10.662,-14.311
12.335,174.06,-11.974,-14.347
12.38,173.579,-11.974,-14.347
12.407,173.579,-11.974,-14.347
12.547,173.245,-10.244,-13.644
12.58,172.629,-10.244,-13.644
12.6,172.629,-10.244,-13.644
12.758,173.212,-7.881,-14.099
12.781,172.753,-7.881,-14.099
12.8,172.753,-7.881,-14.099
12.971,171.849,-8.799,-12.977
12.98,171.593,-8.799,-12.977
13.001,171.593,-8.799,-12.977
13.182,170.063,-12.914,-11.764
13.183,169.937,-12.914,-11.764
13.2,169.937,-12.914,-11.764
13.382,170.271,-12.914,-11.764
13.394,170.886,-17.653,-13.688
13.407,170.886,-17.653,-13.688
13.582,171.208,-17.653,-13.688
13.6,171.208,-17.653,-13.688
13.604,170.085,-19.023,-12.528
13.78,170.196,-19.023,-12.528
13.8,170.196,-19.023,-12.528
13.817,171.06,-19.837,-13.914
13.98,171.253,-19.837,-13.914
13.999,171.253,-19.837,-13.914
14.027,171.996,-20.08,-15.006
14.18,172.408,-20.08,-15.006
14.199,172.408,-20.08,-15.006
14.239,167.263,-26.857,-9.541
14.38,168.119,-26.857,-9.541
14.405,168.119,-26.857,-9.541
14.451,168.245,-32.216,-11.994
14.58,168.299,-32.216,-11.994
14.6,168.299,-32.216,-11.994
14.662,172.829,-17.686,-15.34
14.779,172.597,-17.686,-15.34
14.799,172.597,-17.686,-15.34
14.874,172.78,-8.219,-13.892
14.979,172.672,-8.219,-13.892
15,172.672,-8.219,-13.892
15.086,172.142,-5.998,-12.392
15.18,172.328,-5.998,-12.392
15.199,172.328,-5.998,-12.392
15.298,171.886,-7.055,-11.693
15.38,172.242,-7.055,-11.693
15.405,172.242,-7.055,-11.693
15.51,169.623,-13.734,-8.309
15.58,169.922,-13.734,-8.309
15.599,169.922,-13.734,-8.309
15.721,170.52,-12.292,-8.986
15.779,170.443,-12.292,-8.986
15.8,170.443,-12.292,-8.986
15.933,171.802,-11.743,-11.045
15.98,171.905,-11.743,-11.045
16.001,171.905,-11.743,-11.045
16.145,170.73,-10.679,-9.107
16.18,170.979,-10.679,-9.107
16.2,170.979,-10.679,-9.107
16.356,170.56,-12.141,-8.837
16.38,170.959,-12.141,-8.837
16.405,170.959,-12.141,-8.837
16.568,170.326,-16.321,-8.95
16.58,170.818,-16.321,-8.95
16.6,170.818,-16.321,-8.95
16.781,171.114,-19.145,-9.985
16.781,171.178,-19.145,-9.985
16.799,171.178,-19.145,-9.985
16.98,170.952,-19.145,-9.985
16.992,172.347,-18.117,-11.688
16.999,172.347,-18.117,-11.688
17.186,172.089,-18.117,-11.688
17.201,172.089,-18.117,-11.688
17.204,174.337,-11.086,-13.782
17.381,174.142,-11.086,-13.782
17.407,174.142,-11.086,-13.782
17.418,174.42,-7.424,-13.747
17.581,174.371,-7.424,-13.747
17.6,174.371,-7.424,-13.747
17.627,172.35,-3.25,-9.967
17.78,172.435,-3.25,-9.967
17.8,172.435,-3.25,-9.967
17.838,171.807,-4.217,-9.118
17.981,171.787,-4.217,-9.118
17.999,171.787,-4.217,-9.118
18.05,171.031,-6.884,-8.44
18.18,170.996,-6.884,-8.44
18.2,170.996,-6.884,-8.44
18.262,172.102,-11.467,-10.814
18.38,171.952,-11.467,-10.814
18.406,171.952,-11.467,-10.814
18.474,171.135,-14.246,-10.319
18.581,170.733,-14.246,-10.319
18.602,170.733,-14.246,-10.319
18.686,173.061,-13.828,-13.056
18.78,172.636,-13.828,-13.056
18.802,172.636,-13.828,-13.056
18.906,172.268,-11.167,-12.143
18.981,171.894,-11.167,-12.143
19,171.894,-11.167,-12.143
19.111,171.276,-6.351,-10.454
19.182,170.872,-6.351,-10.454
19.202,170.872,-6.351,-10.454
19.323,170.473,-5.647,-9.757
19.381,170.128,-5.647,-9.757
19.407,170.128,-5.647,-9.757
19.536,169.293,-8.408,-9.16
19.582,169.279,-8.408,-9.16
19.603,169.279,-8.408,-9.16
19.746,166.262,-11.343,-5.658
19.781,166.686,-11.343,-5.658
19.801,166.686,-11.343,-5.658
19.958,166.197,-15.94,-6.49
19.982,166.948,-15.94,-6.49
20.002,166.948,-15.94,-6.49
20.169,164.063,-18.677,-3.651
20.181,165.404,-18.677,-3.651
20.202,165.404,-18.677,-3.651
20.38,165.547,-22.277,-5.289
20.381,166.88,-22.277,-5.289
20.407,166.88,-22.277,-5.289
20.583,168.164,-22.277,-5.289
20.593,170.394,-21.515,-8.073
20.602,170.394,-21.515,-8.073
20.781,171.166,-21.515,-8.073
20.802,171.166,-21.515,-8.073
20.803,172.016,-16,-8.07
20.981,172.577,-16,-8.07
21.001,172.577,-16,-8.07
21.014,172.283,-12.997,-6.997
21.18,172.861,-12.997,-6.997
21.2,172.861,-12.997,-6.997
21.226,170.502,-14.668,-3.192
21.381,170.801,-14.668,-3.192
21.406,170.801,-14.668,-3.192
21.438,171.047,-16.922,-4.182
21.581,171.067,-16.922,-4.182
21.6,171.067,-16.922,-4.182
21.651,173.016,-14.156,-6.958
21.782,172.911,-14.156,-6.958
21.801,172.911,-14.156,-6.958
21.862,171.809,-11.812,-4.633
21.981,171.915,-11.812,-4.633
22.001,171.915,-11.812,-4.633
22.074,170.848,-13.801,-3.293
22.181,171.29,-13.801,-3.293
22.201,171.29,-13.801,-3.293
22.286,168.803,-17.903,-0.446
22.38,169.669,-17.903,-0.446
22.406,169.669,-17.903,-0.446
22.498,172.792,-20.073,-5.607
22.581,173.111,-20.073,-5.607
22.6,173.111,-20.073,-5.607
22.71,172.849,-16.632,-4.556
22.781,173.042,-16.632,-4.556
22.801,173.042,-16.632,-4.556
22.923,170.161,-18.867,-0.542
22.98,170.574,-18.867,-0.542
23,170.574,-18.867,-0.542
23.133,172.458,-16.845,-3.054
23.18,172.868,-16.845,-3.054
23.202,172.868,-16.845,-3.054
23.343,174.022,-16.572,-4.841
23.38,174.263,-16.572,-4.841
23.406,174.263,-16.572,-4.841
23.555,174.231,-14.743,-4.513
23.58,174.377,-14.743,-4.513
23.6,174.377,-14.743,-4.513
23.766,172.949,-13.732,-1.909
23.78,173.261,-13.732,-1.909
23.8,173.261,-13.732,-1.909
23.979,173.458,-11.722,-1.919
23.98,173.741,-11.722,-1.919
23.999,173.741,-11.722,-1.919
24.181,174.455,-11.722,-1.919
24.192,174.659,-12.367,-2.333
24.199,174.659,-12.367,-2.333
24.381,175.402,-12.367,-2.333
24.406,175.402,-12.367,-2.333
24.407,173.428,-13.738,0.572
24.582,173.895,-13.738,0.572
24.601,173.895,-13.738,0.572
24.615,172.309,-17.257,2.354
24.78,172.961,-17.257,2.354
24.801,172.961,-17.257,2.354
24.825,173.411,-19.196,1.341
24.981,173.952,-19.196,1.341
25.003,173.952,-19.196,1.341
25.037,175.683,-23.167,-1.684
25.18,175.793,-23.167,-1.684
25.2,175.793,-23.167,-1.684
25.249,177.181,-18.631,-3.231
25.381,176.861,-18.631,-3.231
25.406,176.861,-18.631,-3.231
25.461,175.068,-22.863,-1.01
25.581,174.655,-22.863,-1.01
25.6,174.655,-22.863,-1.01
25.675,174.177,-22.859,-0.259
25.78,173.7,-22.859,-0.259
25.8,173.7,-22.859,-0.259
25.884,175.031,-21.391,-2.257
25.98,174.35,-21.391,-2.257
26,174.35,-21.391,-2.257
26.097,174.85,-15.942,-2.314
26.181,174.226,-15.942,-2.314
26.2,174.226,-15.942,-2.314
26.31,174.724,-15.779,-3.242
26.381,174.137,-15.779,-3.242
26.407,174.137,-15.779,-3.242
26.521,173.382,-16.888,-2.023
26.581,173.1,-16.888,-2.023
26.6,173.1,-16.888,-2.023
26.732,173.644,-19.119,-3.42
26.781,174.038,-19.119,-3.42
26.8,174.038,-19.119,-3.42
26.943,175.272,-12.14,-4.641
26.98,176.08,-12.14,-4.641
27,176.08,-12.14,-4.641
27.155,175.962,-11.936,-4.408
27.18,176.881,-11.936,-4.408
27.2,176.881,-11.936,-4.408
27.366,176.281,-17.759,-3.93
27.38,177.034,-17.759,-3.93
27.408,177.034,-17.759,-3.93
27.578,174.535,-21.52,-0.618
27.579,175.341,-21.52,-0.618
27.6,175.341,-21.52,-0.618
27.78,175.781,-21.52,-0.618
27.789,179.056,-19.924,-5.499
27.802,179.056,-19.924,-5.499
27.981,179.115,-19.924,-5.499
28,179.115,-19.924,-5.499
28,-179.626,-22.399,-7.496
28.181,-179.627,-22.399,-7.496
28.2,-179.627,-22.399,-7.496
28.213,178.614,-22.743,-4.699
28.38,177.976,-22.743,-4.699
28.405,177.976,-22.743,-4.699
28.424,-179.025,-30.43,-9.525
28.582,179.449,-30.43,-9.525
28.6,179.449,-30.43,-9.525
28.637,178.703,-20.937,-7.95
28.781,177.172,-20.937,-7.95
28.8,177.172,-20.937,-7.95
28.848,178.373,-14.684,-9.951
28.98,177.456,-14.684,-9.951
29,177.456,-14.684,-9.951
29.061,176.926,-9.717,-8.486
29.18,176.081,-9.717,-8.486
29.199,176.081,-9.717,-8.486
29.271,175.915,-7.027,-7.903
29.381,175.335,-7.027,-7.903
29.408,175.335,-7.027,-7.903
29.486,175.328,-6.483,-7.835
29.582,174.967,-6.483,-7.835
29.601,174.967,-6.483,-7.835
29.697,174.907,-9.514,-8.068
29.782,174.667,-9.514,-8.068
29.801,174.667,-9.514,-8.068
29.907,173.598,-7.033,-6.04
29.982,173.555,-7.033,-6.04
30,173.555,-7.033,-6.04
30.121,174.183,-3.662,-6.566
30.18,174.368,-3.662,-6.566
30.2,174.368,-3.662,-6.566
30.33,173.564,-2.383,-5.292
30.38,174.374,-2.383,-5.292
30.407,174.374,-2.383,-5.292
30.543,172.538,-2.667,-2.886
30.58,173.273,-2.667,-2.886
30.601,173.273,-2.667,-2.886
30.755,175.878,-3.602,-6.252
30.78,176.611,-3.602,-6.252
30.801,176.611,-3.602,-6.252
30.967,174.79,-3.431,-4.03
30.98,175.584,-3.431,-4.03
31.001,175.584,-3.431,-4.03
31.178,175.695,-5.636,-4.346
31.18,176.536,-5.636,-4.346
31.2,176.536,-5.636,-4.346
31.382,176.851,-5.636,-4.346
31.389,179.469,-10.058,-7.408
31.407,179.469,-10.058,-7.408
31.582,179.653,-10.058,-7.408
31.6,179.653,-10.058,-7.408
31.601,177.723,-13.248,-5.435
31.781,177.751,-13.248,-5.435
31.8,177.751,-13.248,-5.435
31.812,176.272,-16.176,-4.028
31.981,175.524,-16.176,-4.028
32,175.524,-16.176,-4.028
32.025,-176.293,-24.913,-12.855
32.181,-179.105,-24.913,-12.855
32.2,-179.105,-24.913,-12.855
32.236,-171.705,-27.923,-20.546
32.381,-175.491,-27.923,-20.546
32.407,-175.491,-27.923,-20.546
32.448,-173.365,-24.289,-23.938
32.581,-176.795,-24.289,-23.938
32.6,-176.795,-24.289,-23.938
32.662,-175.105,-25.454,-26.364
32.783,-178.618,-25.454,-26.364
32.8,-178.618,-25.454,-26.364
32.872,175.098,-25.706,-15.708
32.982,173.439,-25.706,-15.708
33,173.439,-25.706,-15.708
33.083,172.943,-16.73,-12.679
33.183,171.846,-16.73,-12.679
33.2,171.846,-16.73,-12.679
33.295,171.843,-11.299,-11.415
33.381,171.074,-11.299,-11.415
33.406,171.074,-11.299,-11.415
33.506,170.835,-9.589,-10.453
33.583,170.659,-9.589,-10.453
33.601,170.659,-9.589,-10.453
33.719,169.944,-14.544,-10.154
33.781,170.386,-14.544,-10.154
33.8,170.386,-14.544,-10.154
33.93,167.937,-20.724,-7.385
33.983,168.542,-20.724,-7.385
34.001,168.542,-20.724,-7.385
34.142,172.715,-20.527,-14.55
34.18,173.411,-20.527,-14.55
34.2,173.411,-20.527,-14.55
34.354,173.016,-21.752,-14.163
34.382,173.718,-21.752,-14.163
34.408,173.718,-21.752,-14.163
34.566,169.918,-31.586,-11.325
34.582,170.352,-31.586,-11.325
34.601,170.352,-31.586,-11.325
34.777,170.906,-31.824,-12.164
34.782,170.423,-31.824,-12.164
34.8,170.423,-31.824,-12.164
34.982,168.863,-31.824,-12.164
34.989,174.966,-6.214,-17.532
35,174.966,-6.214,-17.532
35.183,173.41,-6.214,-17.532
35.2,171.746,-0.82,-13.097
35.2,171.746,-0.82,-13.097
35.382,169.411,-0.82,-13.097
35.4,169.411,-0.82,-13.097
35.412,169.515,-8.346,-14.933
35.583,167.094,-8.346,-14.933
35.6,167.094,-8.346,-14.933
35.623,165.721,-7.347,-12.068
35.781,163.959,-7.347,-12.068
35.8,163.959,-7.347,-12.068
35.836,161.742,-8.802,-8.397
35.981,159.652,-8.802,-8.397
36,159.652,-8.802,-8.397
36.048,163.24,-7.045,-14.004
36.18,161.026,-7.045,-14.004
36.2,161.026,-7.045,-14.004
36.259,160.872,-5.353,-13.085
36.382,159.276,-5.353,-13.085
36.403,159.276,-5.353,-13.085
36.471,158.048,-2.536,-10.065
36.581,157.303,-2.536,-10.065
36.6,157.303,-2.536,-10.065
36.683,152.373,-14.91,-10.142
36.781,152.588,-14.91,-10.142
36.8,152.588,-14.91,-10.142
36.894,153.634,-13.315,-10.529
36.981,155,-13.315,-10.529
37,155,-13.315,-10.529
37.106,157.82,-9.418,-12.492
37.183,158.519,-9.418,-12.492
37.2,158.519,-9.418,-12.492
37.317,156.475,-12.441,-11.109
